Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        4.72667,      0.1001882,              0,       740.7794,      -115.2933
       4.728623,      0.0998937,              0,       738.3967,      -115.6557
       4.730576,     0.09996423,              0,        743.066,      -116.2561
       4.732529,      0.1002417,              0,       750.5849,      -115.4305
       4.734482,       0.100018,              0,       747.5153,      -115.0838
       4.736435,     0.09988824,              0,       748.0707,      -115.8423
       4.738389,     0.09992405,              0,       750.4562,      -116.7534
       4.740342,       0.100103,              0,       757.4482,      -117.0304
       4.742295,     0.09999903,              0,       761.2285,      -117.1509
       4.744248,      0.1002125,              0,        767.557,      -116.5736
       4.746201,     0.09985135,              0,        764.676,      -116.9317
       4.748154,     0.09996142,              0,       769.8889,      -117.5876
       4.750107,      0.1001696,              0,       775.9242,      -117.1143
        4.75206,      0.1001823,              0,       775.3867,       -116.314
       4.754014,      0.0998816,              0,       773.0805,       -116.915
       4.755967,     0.09986152,              0,       776.1373,      -117.6627
        4.75792,      0.1000813,              0,       783.2811,      -117.4928
       4.759873,     0.09928612,              0,        785.261,      -117.5712
       4.761826,      0.1000309,              0,        787.074,      -117.8101
       4.763779,     0.09993979,              0,       789.9338,      -118.2349
       4.765732,      0.1003267,              0,       792.0148,      -118.0705
       4.767685,     0.09991784,              0,       790.9117,       -118.975
       4.769639,     0.09978005,              0,       797.2518,      -119.8849
       4.771592,      0.1001372,              0,       806.0218,      -119.6339
       4.773545,     0.09996781,              0,        803.719,      -119.8687
       4.775498,     0.09988284,              0,       805.4171,      -120.4859
       4.777442,       0.100143,              0,       814.9581,      -120.5496
       4.779395,      0.1001896,              0,       819.0143,      -120.1454
       4.781348,     0.09992416,              0,       817.6703,      -120.3104
       4.783301,     0.09997228,              0,       823.2235,      -120.9363
       4.785254,      0.1000397,              0,       829.0364,      -120.8342
       4.787207,     0.09975927,              0,        826.929,      -121.7792
        4.78916,     0.09988505,              0,       833.7885,      -122.1582
       4.791113,     0.09998692,              0,       836.4027,      -122.1866
       4.793067,     0.09984025,              0,       840.3265,      -122.6247
        4.79502,       0.099747,              0,       841.6329,      -123.1394
       4.796973,     0.09998903,              0,       845.3324,      -123.5465
       4.798926,     0.09990072,              0,       846.5086,      -124.0744
       4.800879,     0.09976451,              0,       848.9446,      -125.2113
       4.802852,      0.1001636,              0,        862.368,      -125.6766
       4.804805,     0.09994976,              0,       860.1395,      -125.3438
       4.806758,     0.09968853,              0,        860.647,      -126.9236
       4.808711,     0.09960954,              0,       863.8815,        -128.73
       4.810664,      0.1002171,              0,        873.743,      -128.2241
       4.812617,      0.1001488,              0,       880.9355,      -128.1088
