Group Signal ,Sx,Frame 128552,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        6.74334,       0.199426,              0,       748.4914,      -105.8686
       6.745195,      0.1994895,              0,       750.0143,      -105.8045
       6.747031,      0.1995866,              0,       752.5034,      -105.7484
       6.748867,      0.1997165,              0,       754.7133,      -105.8298
       6.750664,      0.1995491,              0,        757.331,      -105.8686
         6.7525,      0.1995036,              0,       758.7343,      -105.8847
       6.754336,      0.1994325,              0,       760.9335,      -105.8126
       6.756172,      0.1997357,              0,       763.9493,      -105.8034
       6.758008,      0.1999689,              0,       766.4979,      -105.8705
       6.759844,      0.1995844,              0,       769.5419,      -106.0568
        6.76168,      0.1995285,              0,       769.2772,      -106.1414
       6.763515,      0.1993666,              0,       771.4355,      -106.1803
       6.765352,      0.1994501,              0,       773.6671,      -106.1459
       6.767148,      0.1996235,              0,       777.2778,      -106.1063
       6.768984,      0.1998935,              0,       780.7189,      -106.1866
        6.77082,      0.1999772,              0,       782.9548,      -106.2879
       6.772656,      0.1998542,              0,       784.2432,      -106.5075
       6.774492,      0.1997051,              0,       784.5514,       -106.509
       6.776328,      0.1990408,              0,       784.4442,      -106.6603
       6.778164,      0.1990337,              0,       785.0018,      -106.3531
           6.78,      0.1995092,              0,       787.9745,      -106.1785
       6.781797,      0.2000084,              0,       794.2319,      -106.1206
       6.783633,      0.2001663,              0,        796.999,      -106.2624
       6.785469,       0.199678,              0,       797.6655,      -106.5611
       6.787305,       0.199444,              0,        797.947,      -106.7185
       6.789141,      0.1996043,              0,       800.6381,      -106.5513
       6.790977,      0.1994335,              0,        802.293,      -106.6236
       6.792812,      0.1996351,              0,       805.1115,      -106.6362
       6.794649,      0.2000447,              0,       809.3623,      -106.6336
       6.796445,      0.1998671,              0,       810.3788,      -106.8953
       6.798281,      0.1997911,              0,        811.947,      -107.0293
       6.800117,      0.1996821,              0,       813.8174,      -107.1021
       6.801953,      0.1996426,              0,       816.1912,      -107.2416
       6.803789,      0.1998071,              0,       817.3598,       -107.268
       6.805625,       0.199492,              0,       820.2458,      -107.3284
       6.807461,      0.1990894,              0,       820.2627,      -107.3768
       6.809297,      0.1992649,              0,       822.7928,      -107.1412
       6.811133,      0.1993304,              0,       826.9681,      -107.0059
        6.81293,      0.1996255,              0,       829.1141,      -107.0013
       6.814765,      0.1998426,              0,        833.774,      -107.1345
       6.816602,      0.1999594,              0,       837.3284,      -107.1844
       6.818438,      0.1993109,              0,       839.1556,      -107.4401
       6.820273,      0.1993619,              0,       839.4873,       -107.425
       6.822109,      0.1998378,              0,       842.7744,        -107.42
       6.823946,       0.199961,              0,       846.8671,      -107.3263
       6.825781,      0.1997518,              0,       848.1977,      -107.7075
       6.827578,      0.2000463,              0,       850.4422,      -107.7255
       6.829414,       0.200103,              0,        853.944,      -107.8415
        6.83125,      0.1995433,              0,         855.27,      -107.9824
       6.833086,      0.1990164,              0,       854.7723,      -108.0775
       6.834922,      0.1993656,              0,       857.0365,      -107.9121
       6.836758,       0.199723,              0,       859.8958,      -107.7884
